ID	protein_product	biological_class	mRNA_expression	protein_expression	length	GC
VNG_0064G	UTP--glucose-1-phosphate uridylyltransferaseAglF	Cell wall/membrane/envelope biogenesis	1.723255750527263	NA	717	0.5788005578800558
VNG_0065G	GalE family epimerase/dehydratase	Cell wall/membrane/envelope biogenesis	2.553707459868051	2.4744305762785057	930	0.6193548387096774
VNG_0066H	UPF0175 family protein	Defense mechanisms	NA	NA	297	0.6060606060606061
VNG_0069H	uncharacterized protein	Function unknown	3.5060713443466582	2.271662330761301	198	0.5303030303030303
VNG_0070H	uncharacterized protein	Defense mechanisms	3.6718724525476114	2.7076382461067716	294	0.5782312925170068
VNG_0072H	homolog to endonuclease VapC	Defense mechanisms	NA	NA	435	0.6413793103448275
VNG_0076H	spurious ORF	Function unknown	NA	NA	120	0.5416666666666666
VNG_0077H	DUF4330 family protein	Function unknown	2.8941360744114366	3.028954754659219	1110	0.6333333333333333
VNG_0079H	spurious ORF	Function unknown	NA	NA	216	0.6620370370370371
VNG_0080H	VanZ family protein	Function unknown	NA	NA	432	0.6805555555555556
VNG_0081G	molybdopterin synthase catalytic subunit	Coenzyme transport and metabolism	2.01126584100978	2.7098536346832742	792	0.7095959595959596
VNG_0084G	SAMP-activating enzyme E1	Coenzyme transport and metabolism	1.9251524949228553	1.5741828679257233	837	0.6917562724014337
VNG_0085G	GTP 3',8-cyclase	Coenzyme transport and metabolism	2.177864872979408	1.887626309790618	1074	0.6945996275605214
VNG_0086G	molybdopterin molybdenumtransferase	Function unknown	1.6404285830961969	2.423700512802519	1896	0.7573839662447257
VNG_0089G	protein-L-isoaspartate O-methyltransferase	Posttranslational modification, protein turnover, chaperones	2.218404936602071	1.9247298314477506	738	0.7520325203252033
VNG_0090G	molybdopterin molybdenumtransferase	Coenzyme transport and metabolism	1.8082231043168668	2.5607180230456574	1224	0.7491830065359477
VNG_0091C	probable S-adenosylmethionine-dependentmethyltransferase	Function unknown	1.3926787357323445	2.1942759881402054	915	0.760655737704918
VNG_0094C	UCP015877 family protein	General function prediction only	3.232485833765987	3.252908777944407	666	0.6741741741741741
VNG_0095G	glyceraldehyde-3-phosphate dehydrogenase(NAD(P)) (phosphorylating)	Carbohydrate transport and metabolism	3.4085141732599875	3.947525396251098	1008	0.6984126984126984
VNG_0096C	aminopeptidase (homolog to leucyl aminopeptidase/ aminopeptidase T)	Amino acid transport and metabolism	3.0745078063337448	3.242776607639972	942	0.7112526539278131
VNG_0097G	Hsp20-type molecular chaperone	Function unknown	3.2597478485368665	2.2525437303932407	387	0.6434108527131783
VNG_0098G	ATP-grasp fold protein	Coenzyme transport and metabolism	NA	NA	858	0.7121212121212122
VNG_0099G	50S ribosomal protein L16	Translation, ribosomal structure and biogenesis	4.101778660371995	4.231518653136356	531	0.655367231638418
VNG_0101G	cold shock protein	Transcription	NA	NA	195	0.5897435897435898
VNG_0102C	HAD superfamily hydrolase	General function prediction only	2.834662389033743	2.87706593015297	657	0.6529680365296804
VNG_0104G	probable D-2-hydroxyacid dehydrogenase	Coenzyme transport and metabolism	1.7810180803396936	2.0565956477797034	972	0.7417695473251029
VNG_0105H	uncharacterized protein	Function unknown	NA	NA	486	0.7181069958847737
VNG_0106G	type I restriction-modification systemDNA-methyltransferase RmeM	Defense mechanisms	2.625005880199138	2.7973295780786414	1500	0.628
VNG_0107G	type I site-specific deoxyribonuclease subunitRmeS	Defense mechanisms	2.672175811447394	2.08614907400862	1428	0.4957983193277311
VNG_0108G	type I site-specific deoxyribonuclease subunitRmeR	Defense mechanisms	2.4620238228925904	2.701417727701909	2976	0.6307123655913979
VNG_0110C	DUF45 family protein	General function prediction only	NA	NA	726	0.6184573002754821
VNG_0112H	ISH3-type transposase ISH3	Mobilome: prophages, transposons	NA	NA	1167	0.585261353898886
VNG_0113H	HTH-10 family transcription regulator	Function unknown	NA	NA	678	0.6828908554572272
VNG_0115G	probable oxidoreductase (short-chaindehydrogenase family)	Energy production and conversion	2.474059068307204	3.0025695235275456	783	0.6781609195402298
VNG_0116H	homolog to pHK2-ORF10	Function unknown	1.6728164332333375	NA	825	0.5151515151515151
VNG_0117H	uncharacterized protein	Function unknown	NA	NA	276	0.6521739130434783
VNG_0118H	uncharacterized protein	Function unknown	NA	NA	384	0.6432291666666666
VNG_0119H	uncharacterized protein	Function unknown	NA	NA	159	0.6037735849056604
VNG_0120H	uncharacterized protein	Function unknown	NA	NA	126	0.5714285714285714
VNG_0121H	DUF192 family protein	Function unknown	NA	NA	492	0.6951219512195121
VNG_0123G	ABC-type transport system ATP-binding/permeaseprotein	Defense mechanisms	2.393353331708588	2.611585623294612	1929	0.647485743908761
VNG_0124C	creatininase domain protein	Coenzyme transport and metabolism	2.3804233663232552	2.603841785413021	744	0.728494623655914
VNG_0125H	uncharacterized protein	Function unknown	2.460818558264109	2.9579442395192808	387	0.7002583979328165
VNG_0127C	dihydroneopterin aldolase, archaeal-type	Coenzyme transport and metabolism	2.7542019839747223	2.6193205683274363	330	0.6454545454545455
VNG_0128C	glucose-6-phosphate 1-dehydrogenase (NAD)	Cell wall/membrane/envelope biogenesis	2.514416657777952	2.6422431654047007	768	0.6927083333333334
VNG_0129G	HtpX-like protease	Posttranslational modification, protein turnover, chaperones	3.305580015933169	2.4557078182451173	897	0.6588628762541806
VNG_0130H	uncharacterized protein	Function unknown	2.9102797707115973	1.7958323218838395	264	0.7121212121212122
VNG_0132C	DUF309 family protein	General function prediction only	NA	NA	615	0.7365853658536585
VNG_0133G	replication protein A	Replication, recombination and repair	2.7943855083065374	3.384184918579145	1425	0.6968421052631579
VNG_0134G	archaeal histone	Replication, recombination and repair	3.1588729421151003	3.186891702103581	453	0.7152317880794702
VNG_0136G	HdaI-type histone deacetylase	General function prediction only	2.7572669543894617	2.7480161452767753	1017	0.7010816125860374
VNG_0137G	tRNA adenylyltransferase, CCA-adding	Translation, ribosomal structure and biogenesis	2.015723130392353	2.5879416910446116	1359	0.7196467991169978
VNG_0139H	uncharacterized protein	Function unknown	NA	NA	525	0.4819047619047619
VNG_0141H	uncharacterized protein	Function unknown	NA	NA	405	0.5925925925925926
VNG_0142C	TrmB family transcription regulator	Transcription	3.1189344632246025	2.594897748752082	405	0.6
VNG_0143H	uncharacterized protein	Function unknown	NA	NA	294	0.6632653061224489
VNG_0144H	DUF302 family protein	Function unknown	2.902925881736636	2.711929700231596	438	0.6529680365296804
VNG_0146H	HTH domain protein	Transcription	NA	NA	237	0.620253164556962
VNG_0147C	NikR family transcription regulator	Defense mechanisms	2.904334337842793	2.687445008022725	429	0.6130536130536131
VNG_0149G	P-type transport ATPase (probable substratezinc/cadmium)	Inorganic ion transport and metabolism	NA	NA	2274	0.7137203166226913
VNG_0150H	homolog to cytochrome c-type biogenesis proteinCcdA	Energy production and conversion	NA	NA	672	0.7574404761904762
VNG_0151C	thioredoxin	Posttranslational modification, protein turnover, chaperones	NA	NA	534	0.7359550561797753
VNG_0152G	SCO1/SenC/PrrC family protein	General function prediction only	2.993373109807517	2.8292593331520384	669	0.6965620328849028
VNG_0153C	uncharacterized protein	Cell cycle control, cell division, chromosome partitioning	2.9994591410388374	3.544402997012774	1089	0.682277318640955
VNG_0154G	bis-gamma-glutamylcystine reductase	Energy production and conversion	2.254269727734642	2.7403830264745155	1398	0.6952789699570815
VNG_0156C	HTH-10 family transcription regulator	Transcription	NA	NA	699	0.7396280400572246
VNG_0157G	major facilitator superfamily transport protein	Carbohydrate transport and metabolism	NA	NA	1233	0.7429034874290349
VNG_0158G	2-keto-3-deoxygluconate kinase	Carbohydrate transport and metabolism	2.240578127490177	1.9979492070397002	957	0.7366771159874608
VNG_0159G	DNA mismatch repair protein MutL	Replication, recombination and repair	1.6365117485554732	2.2239082732756863	1980	0.7464646464646465
VNG_0160G	sensor/bat box HTH-10 family transcriptionregulator	Signal transduction mechanisms	1.8853929192337857	2.1358595093484687	2463	0.6825010150223305
VNG_0161G	glutamate dehydrogenase (NAD)	Amino acid transport and metabolism	4.169148229834628	4.363181486016263	1290	0.6759689922480621
VNG_0162G	acyl-CoA synthetase	Lipid transport and metabolism	3.591987795597858	2.3269929260610014	1617	0.6907854050711194
VNG_0163G	DNA mismatch repair protein MutS	Replication, recombination and repair	2.196724333541506	2.9838079060953864	2616	0.72782874617737
VNG_0164G	HypE family protein	Posttranslational modification, protein turnover, chaperones	1.2855333879567745	NA	1020	0.7480392156862745
VNG_0166G	proteasome alpha subunit	Posttranslational modification, protein turnover, chaperones	3.5133726000258285	4.272996427302758	762	0.6811023622047244
VNG_0167H	thioredoxin	Posttranslational modification, protein turnover, chaperones	NA	NA	333	0.6966966966966966
VNG_0168H	DNA-directed RNA polymerase epsilon subunit	Function unknown	2.2984601179482254	2.0834765454374007	705	0.7347517730496453
VNG_0170C	thioredoxin domain protein	Function unknown	1.9232925390819537	2.1753935275194687	630	0.7047619047619048
VNG_0171C	endonuclease NucS	Replication, recombination and repair	1.0731871047075559	NA	723	0.7496542185338866
VNG_0172G	DNA mismatch repair protein MutS	Replication, recombination and repair	1.4473946107380604	1.704554860813561	2592	0.7179783950617284
VNG_0174G	transport protein (probable substrate cationicamino acids)	Amino acid transport and metabolism	2.5072948089403515	2.390715654691787	2403	0.6995422388680815
VNG_0175G	TrkA domain protein	Inorganic ion transport and metabolism	2.9118663711614587	2.3100934849037005	687	0.6797671033478894
VNG_0176H	GNAT family acetyltransferase	Transcription	1.4800107243858651	2.1195203141770484	741	0.680161943319838
VNG_0177G	50S ribosomal protein L15e	Translation, ribosomal structure and biogenesis	4.087168923953169	3.8156450926001106	591	0.6751269035532995
VNG_0178H	homolog to restriction system mrr	Defense mechanisms	2.5596749501409426	2.4280392273143803	981	0.7115188583078491
VNG_0179C	RIO-type serine/threonine protein kinase Rio2	Signal transduction mechanisms	2.3300382046689334	2.6792329002838384	903	0.6677740863787376
VNG_0180G	halorhodopsin	General function prediction only	NA	NA	825	0.6690909090909091
VNG_0181G	lipoate--protein ligase domain protein	Coenzyme transport and metabolism	2.2075291365101384	2.3936888343697316	819	0.7277167277167277
VNG_0183G	endonuclease 4	Replication, recombination and repair	3.2999216823139625	3.6204781958935306	828	0.6714975845410628
VNG_0184H	probable S-adenosylmethionine-dependentmethyltransferase	Secondary metabolites biosynthesis, transport and catabolism	NA	NA	813	0.7466174661746617
VNG_0186G	aminopeptidase (homolog to leucyl aminopeptidase/ aminopeptidase T)	Amino acid transport and metabolism	3.1506637391576615	3.222635426459917	1092	0.6758241758241759
VNG_0187H	uncharacterized protein	Function unknown	2.1541285986221443	2.057951255982874	648	0.7222222222222222
VNG_0188H	major facilitator superfamily transport protein	Carbohydrate transport and metabolism	NA	NA	1380	0.6891304347826087
VNG_0189C	HD family hydrolase	General function prediction only	1.4933579219608426	1.7129799087348156	1440	0.6854166666666667
VNG_0190C	putative tRNA 2-thiolation protein NcsA	Translation, ribosomal structure and biogenesis	2.4202836779217125	1.6029612030095595	963	0.6697819314641744
VNG_0192G	cell division protein FtsZ, type II	Cell cycle control, cell division, chromosome partitioning	4.522529255971356	3.4757141467082	1182	0.6362098138747885
VNG_0194H	CopG domain protein	Transcription	4.99402914165545	1.8973668744488044	168	0.5357142857142857
VNG_0195H	DZR domain protein	General function prediction only	3.205988740486488	2.3918332871997796	519	0.6859344894026975
VNG_0197C	UPF0104 family protein	Cell wall/membrane/envelope biogenesis	NA	NA	1029	0.706511175898931
VNG_0198H	uncharacterized protein	Cell motility	NA	NA	669	0.7683109118086696
VNG_0199H	uncharacterized protein	Cell motility	NA	NA	369	0.7289972899728997
VNG_0200C	uncharacterized protein	Cell motility	NA	NA	678	0.7477876106194691
VNG_0204H	probable secreted glycoprotein	Cell motility	NA	NA	723	0.7579529737206085
VNG_0207H	uncharacterized protein	Function unknown	4.531981664379787	4.06946539547633	357	0.5126050420168067
VNG_0208H	uncharacterized protein	Function unknown	4.544771978374734	2.68163306633747	450	0.5555555555555556
VNG_0209H	uncharacterized protein	Mobilome: prophages, transposons	4.555535872159993	3.52942660989481	1035	0.5265700483091788
VNG_0210H	insertion element protein (ISH2)	Mobilome: prophages, transposons	NA	NA	204	0.4852941176470588
VNG_0213H	ISH11-type transposase	Mobilome: prophages, transposons	NA	NA	993	0.594159113796576
VNG_0214C	uncharacterized protein	Mobilome: prophages, transposons	NA	NA	660	0.55
VNG_0215C	uncharacterized protein	Mobilome: prophages, transposons	NA	NA	2574	0.5357420357420357
VNG_0216H	uncharacterized protein	Function unknown	NA	NA	210	0.49047619047619045
VNG_0217H	uncharacterized protein	Function unknown	NA	NA	621	0.47342995169082125
VNG_0218G	type IV pilus biogenesis complex ATPase subunit	Cell motility	NA	NA	1647	0.73224043715847
VNG_0219H	DUF4129 domain protein	Function unknown	NA	NA	969	0.7533539731682146
VNG_0220H	uncharacterized protein	Function unknown	NA	NA	573	0.7486910994764397
VNG_0222C	DUF11/DUF58 family protein	General function prediction only	NA	NA	1263	0.7521773555027712
VNG_0223G	AAA-type ATPase (MoxR subfamily)	Cell motility	1.6633252107136445	2.5542846244419826	957	0.7136886102403344
VNG_0226G	probable periplasmic serine protease	Posttranslational modification, protein turnover, chaperones	2.2318487802173994	2.015374481073372	1071	0.7170868347338936
VNG_0227H	DUF192 family protein	Function unknown	3.0285401007751545	2.0792837128867405	363	0.7079889807162535
VNG_0228G	GMP synthase (glutamine-hydrolyzing) subunit A	Nucleotide transport and metabolism	2.734254341633424	2.475461584416053	552	0.677536231884058
VNG_0230C	DUF2070 family protein	Lipid transport and metabolism	2.3252608710918414	1.9447242818350132	1875	0.6949333333333333
VNG_0231C	beta-lactamase domain protein	General function prediction only	2.653954028785167	1.4739189600214786	684	0.6973684210526315
VNG_0233H	DUF3194 family protein	Function unknown	3.8496894835511455	2.5621754559910968	240	0.6875
VNG_0234C	prefoldin beta subunit	Posttranslational modification, protein turnover, chaperones	4.025143882611554	4.319884317215498	378	0.6481481481481481
VNG_0237H	DNA-directed RNA polymerase subunit P	Transcription	4.140389015909307	3.12115103755682	135	0.6074074074074074
VNG_0238H	uncharacterized protein	Function unknown	NA	NA	219	0.6529680365296804
VNG_0239C	50S ribosomal protein L43e	Translation, ribosomal structure and biogenesis	4.049648716663964	3.597581217438739	288	0.6979166666666666
VNG_0240C	DUF2103 family protein	General function prediction only	NA	NA	723	0.6957123098201936
VNG_0243a	peptidyl-tRNA hydrolase	Function unknown	2.0758204587926157	2.5930446809048178	339	0.696165191740413
VNG_0243C	tRNA pseudouridine(13) synthase TruD	Translation, ribosomal structure and biogenesis	1.7185585959043068	2.2963159428088127	1305	0.7295019157088123
VNG_0244H	Yip1 domain protein	Function unknown	NA	NA	615	0.7105691056910569
VNG_0245G	dCTP deaminase	Nucleotide transport and metabolism	2.508252374753659	2.759478344690471	588	0.6768707482993197
VNG_0247C	transcription regulator ThiR	Coenzyme transport and metabolism	2.1173425680544304	2.597439798457141	909	0.7018701870187019
VNG_0248C	uncharacterized protein	Function unknown	NA	NA	765	0.7333333333333333
VNG_0249G	DUF5059 domain / halocyanin domain protein HcpG	Energy production and conversion	3.3725433981581787	4.01942462305974	2433	0.727907932593506
VNG_0250C	4-phosphopantoate--beta-alanine ligase	Coenzyme transport and metabolism	2.434902122999296	2.6853326917784606	750	0.6986666666666667
VNG_0251C	pantoate kinase	Coenzyme transport and metabolism	1.9033210868298758	2.4815223094414045	840	0.7476190476190476
VNG_0252C	(S)-3-O-geranylgeranylglyceryl phosphatesynthase 1	Lipid transport and metabolism	2.6021537215363955	3.1271618475988676	711	0.680731364275668
VNG_0254G	transcription initiation factor TFB	Transcription	3.51763036481955	3.326868695366502	972	0.6388888888888888
VNG_0255C	ribonuclease H, type 1	Replication, recombination and repair	2.5190952729688316	3.1241463748287135	600	0.715
VNG_0256H	uncharacterized protein	Function unknown	2.597137313471583	2.712898472835373	552	0.7373188405797102
VNG_0258H	PadR family transcription regulator RosR	Transcription	4.515676931489148	4.210789655729341	351	0.6267806267806267
VNG_0259G	inorganic pyrophosphatase	Energy production and conversion	4.043225355836541	4.497344597576947	534	0.6254681647940075
VNG_0261H	uncharacterized protein	Function unknown	NA	NA	117	0.6666666666666666
VNG_0262C	DHH/RecJ family phosphoesterase	Nucleotide transport and metabolism	2.4087627725643905	1.7172641032845353	1116	0.717741935483871
VNG_0264H	probable phosphodiesterase	General function prediction only	3.0781884035545146	3.452834263692145	1359	0.6718175128771156
VNG_0265G	FtsZ family protein CetZ, type III	Cell cycle control, cell division, chromosome partitioning	3.0092464710291726	3.3034395969406365	1074	0.6797020484171322
VNG_0266H	uncharacterized protein	Transcription	2.4111383943046745	2.113675498966005	432	0.7129629629629629
VNG_0267H	homolog to NAD-dependent epimerase/dehydratase	Cell wall/membrane/envelope biogenesis	1.9290004812702652	2.6338516680077375	894	0.732662192393736
VNG_0268C	probable oxidoreductase (aldo-keto reductasefamily protein)	Energy production and conversion	2.1794508067040272	2.1831122587203176	1089	0.7199265381083563
VNG_0270C	major facilitator superfamily transport protein	Carbohydrate transport and metabolism	NA	NA	1203	0.7082294264339152
VNG_0271C	probable glycosyltransferase, type 2	Cell wall/membrane/envelope biogenesis	1.5977025787757564	2.582113938562201	1095	0.7342465753424657
VNG_0272H	uncharacterized protein	Function unknown	NA	NA	468	0.7350427350427351
VNG_0274C	NUDIX family hydrolase	Replication, recombination and repair	2.4442394837612254	NA	606	0.7079207920792079
VNG_0277G	probable flavin containing oxidoreductase(homolog to phytoene desaturase / monoamine oxidase)	Function unknown	1.7845274111420106	1.8947098861816514	1626	0.7220172201722017
VNG_0280H	spurious ORF	Function unknown	NA	NA	951	0.7497371188222923
VNG_0281G	FAD-dependent oxidoreductase	Amino acid transport and metabolism	1.9076096719722482	2.4958413867103406	1122	0.749554367201426
VNG_0282H	small CPxCG-related zinc finger protein	Function unknown	NA	NA	159	0.5911949685534591
VNG_0283C	Hsp20-type molecular chaperone	Posttranslational modification, protein turnover, chaperones	3.0705515418276685	2.9172705129763616	435	0.7103448275862069
VNG_0284C	radical SAM domain protein	Energy production and conversion	2.6163277066622013	2.645118528337786	1695	0.6825958702064897
VNG_0285C	IS200-type transposase ISH22	Mobilome: prophages, transposons	NA	NA	390	0.5615384615384615
VNG_0286C	IS1341-type transposase ISH22	Mobilome: prophages, transposons	NA	NA	1155	0.6077922077922078
VNG_0287a	TRAM domain protein	Function unknown	3.9228146424493375	4.261020237033952	429	0.6153846153846154
VNG_0287H	spurious ORF	Function unknown	NA	NA	276	0.644927536231884
VNG_0289H	uncharacterized protein	General function prediction only	1.967110178715338	1.7825858229704692	663	0.7119155354449472
VNG_0291H	beta-lactamase domain protein	General function prediction only	1.726290278028565	NA	783	0.7330779054916986
VNG_0293H	NP_1176A family transcription regulator	Transcription	2.7446549849763353	NA	270	0.6444444444444445
VNG_0294G	probable S-adenosylmethionine-dependentmethyltransferase	Secondary metabolites biosynthesis, transport and catabolism	3.08292683514232	2.9693892283287404	705	0.6794326241134752
VNG_0296H	probable glycosyltransferase, type 2	Cell wall/membrane/envelope biogenesis	NA	NA	918	0.738562091503268
VNG_0297H	amidohydrolase domain protein	General function prediction only	2.0879935411237778	2.7692242652420536	819	0.7094017094017094
VNG_0298H	UPF0126 family protein	Function unknown	NA	NA	624	0.7483974358974359
VNG_0300C	S-adenosylmethionine hydroxideadenosyltransferase family protein	Coenzyme transport and metabolism	1.6945061004575328	1.9790820724873375	765	0.7281045751633987
VNG_0301C	nicotinamide-nucleotide adenylyltransferase	Coenzyme transport and metabolism	2.5293507421704424	2.794191798745026	534	0.6629213483146067
VNG_0303G	ATP-dependent protease Lon	Posttranslational modification, protein turnover, chaperones	3.7172117325183693	3.58647727630888	2109	0.6619250829777146
VNG_0305G	indole-3-glycerol-phosphate synthase	Amino acid transport and metabolism	NA	NA	756	0.7288359788359788
VNG_0306C	probable methylated-DNA--protein-cysteinemethyltransferase	Replication, recombination and repair	1.842296927576621	2.0930517573782335	450	0.6955555555555556
VNG_0307G	tryptophan synthase beta subunit	Amino acid transport and metabolism	1.6321014282476614	NA	1293	0.7006960556844548
VNG_0308G	tryptophan synthase alpha subunit	Function unknown	NA	NA	831	0.7208182912154031
VNG_0309C	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonatesynthase / fructose-bisphosphate aldolase	Amino acid transport and metabolism	2.6872488757364654	2.916014239867919	798	0.7092731829573935
VNG_0310C	3-dehydroquinate synthase, type II	Amino acid transport and metabolism	2.716308757981368	3.4111779666558473	1164	0.7044673539518901
VNG_0311H	uncharacterized protein	Function unknown	3.031727363902119	1.928710606001518	306	0.6895424836601307
VNG_0312H	small CPxCG-related zinc finger protein	Function unknown	3.110415374404264	2.153332676452456	411	0.6666666666666666
VNG_0314G	3-dehydroquinate dehydratase	Amino acid transport and metabolism	2.1331210430438894	2.160309584956761	681	0.7151248164464024
VNG_0315G	transcription initiation factor TFB	Transcription	3.5973535816132562	2.9872049355303782	960	0.6854166666666667
VNG_0316C	ABC-type transport system periplasmic substrate-binding protein (probable substrateiron/cobalamin)	Inorganic ion transport and metabolism	NA	NA	714	0.7464985994397759
VNG_0318G	glycosyltransferase AglD	Cell wall/membrane/envelope biogenesis	1.5284947516094989	1.8923247965630448	1845	0.697560975609756
VNG_0319H	uncharacterized protein	Transcription	NA	NA	243	0.6460905349794238
VNG_0320H	HTH domain protein	Transcription	NA	NA	612	0.7026143790849673
VNG_0321G	stomatin family protein	Posttranslational modification, protein turnover, chaperones	3.5108529308668714	3.895226638220708	1179	0.6666666666666666
VNG_0322H	NfeD domain protein	Posttranslational modification, protein turnover, chaperones	2.6989415701981434	2.3035953104265756	510	0.6941176470588235
VNG_0323H	uncharacterized protein	Function unknown	NA	NA	177	0.672316384180791
VNG_0324G	pyruvate kinase	Carbohydrate transport and metabolism	2.357088167298272	2.885716272575614	1740	0.7137931034482758
VNG_0326G	methionine--tRNA ligase	Translation, ribosomal structure and biogenesis	2.882119638017446	3.769802813699664	2070	0.6797101449275362
